Cluster_Size,MNI_X,MNI_Y,MNI_Z,Brain_Region
66004.0,9.0,-70.0,70.0,"<b>Harvard-Oxford Cortical Structural Atlas</b><br>8% Lateral Occipital Cortex, superior division, 1% Precuneous Cortex"
1737.0,-55.1,-10.0,48.0,"<b>Harvard-Oxford Cortical Structural Atlas</b><br>41% Precentral Gyrus, 21% Postcentral Gyrus"
