Reading input dataset: stat.nii 
Reading input dataset: stat.nii 
Reading volume #0 
Number of volumes = 1 

Maxima for Volume #0 (Coordinates Order = RAI): 
Index      Intensity    RL[mm]    AP[mm]    IS[mm]     Count  Dist[mm]
  118          3.000     18.00    -24.00    -18.00         2    24.495
  119          3.000    -22.00    -22.00    -20.00         2    18.868
  120          3.000     64.00     16.00    -22.00         2    14.967
  121          3.000    -54.00    -16.00    -28.00         1    22.361
  122          3.000     -4.00     26.00    -30.00         1    20.976
  123          3.000     16.00     58.00    -32.00         1    33.823
  124          2.000      0.00    -18.00     54.00         1    13.416
  125          2.000     54.00     20.00     52.00         2    17.550
  126          2.000    -14.00    -48.00      8.00         2    16.248
  127          2.000    -46.00    -32.00     -4.00         1    24.413
  128          2.000    -18.00    -36.00     -8.00         1    18.868
  129          2.000     52.00     20.00    -14.00         1    14.000
  130          2.000     14.00     94.00    -20.00         1    22.361
  131          2.000    -52.00     46.00    -34.00         1    30.725
